Text,Category
that unmovable dog contains a menacing foe.,Immovable
the dog nearby is unable to by moved.  contained in it is a vicious adversary.,Immovable
the stationary canine is the enemy. the enemy is dangerous.,Immovable
the stationary dog is the dangerous enemy.,Immovable
a dog holding the deadly opponent is the immovable object.,Immovable
"a deadly opponent is held by a dog, who is the immovable object.",Immovable
the unmoving dog is the lethal adversary.,Immovable
the dog that isn't moving is the lethal adversary.,Immovable
the hound has the deadly enemy and can't be moved.,Immovable
you cannot move the hound that also has the deadly enemy.,Immovable
the dog that possesses the lethal adversary is an immovable item.,Immovable
"the immovable item, which is the dog, possesses the lethal adversary.",Immovable
"in a specific location, there is a stationary dog that is a deadly rival",Immovable
"at a particular locale, there exists a motionless mongrel that is a formidable adversary.",Immovable
the dog who holds an adversary that is lethal is an immovable object.,Immovable
the immovable object that holds an adversary that is lethal is the dog.,Immovable
the stationary lethal dog is the adversary.,Immovable
the adversary is the stationary lethal dog.,Immovable
the canine possesses the lethal adversary and cannot move.,Immovable
the canine cannot move and possesses the lethal adversary.,Immovable
the dog is fixed in position. it is also the lethal opponent.,Immovable
"the canine is the lethal opponent, and cannot be moved.",Immovable
the dog is stationary and the enemy is dangerous.,Immovable
the dog has not moved and the enemy is dangerous.,Immovable
the hound who is stationary is the dangerous enemy.,Immovable
the enemy who is dangerous is the hound that is staying still.,Immovable
the enemy is a menacing canine.,Unknown
a dog who is merciless is the opponent.,Unknown
the dog is holding on and taking the deadly opponent with him.,Unknown
the fatal opponent is being held and taken by the dog.,Unknown
the enemy is the fatal dog.,Unknown
the danger lies in the enemy dog.,Unknown
the dog carries a dangerous enemy.,Unknown
the dangerous opponent is carried by the canine.,Unknown
the dangerous enemy is being carried by the hound.,Unknown
the hound is carrying the enemy which is dangerous.,Unknown
the deadly hound is the enemy,Unknown
your enemy is the deadly hound,Unknown
the dangerous enemy is held by the dog.,Unknown
the dog possesses the lethal foe.,Unknown
the lethal enemy is being ferried by the dog,Unknown
the dog is carrying the dangerous enemy.,Unknown
the dangerous enemy is the dog.,Unknown
the dog is a dangerous enemy.,Unknown
the lethal dog is seen as the adversary.,Unknown
the dog that kills is viewed by you as the adversary.,Unknown
the canine is the opponent which is deadly.,Unknown
the deadly opponent is the canine.,Unknown
your enemy is the dangerous dog.,Unknown
the villain standing in the way is a vicious dog.,Unknown
the hound is coming towards you and is the crucial goal.,Chaser
the crucial goal is the hound that is coming towards you.,Chaser
the canine is the essential goal coming toward you.,Chaser
approaching you is the dog that is the essential goal.,Chaser
the dog that chases holds an essential object.,Chaser
there is an essential object held by the canine who chases.,Chaser
the relocating hound possesses your next objective.,Chaser
your next target moves with the hound that is on the move.,Chaser
the essential target is the dog approaching you.,Chaser
the dog is the primary target that is coming towards you.,Chaser
the dog is running after and grabbing the vital object.,Chaser
the canine is following and cradling the most important goal.,Chaser
the pooch that's zeroing in on your location is the required intention.,Chaser
"the imperative end-result, which is the dog, is on a beeline for where you are.",Chaser
"the essential target which is moving in your direction, is the canine.",Chaser
"the canine, which moves towards you, is the crucial target.",Chaser
the hound coming towards you is a crucial objective.,Chaser
the most important objective is the dog that is getting closer to you.,Chaser
the dog that is moving towards you is the essential objective.,Chaser
"moving towards you, the dog is the essential objective.",Chaser
the dog is also the essential target and is fast approaching you.,Chaser
the dog is quickly approaching you and is the essential target.,Chaser
the canine inching towards you is the essential objective.,Chaser
the canine is inching towards you and is the essential objective.,Chaser
the hound is carrying a vital objective and is chasing the object.,Chaser
the chasing object is carrying an objective that is vital and is also a hound.,Chaser
you are being chased by the essential goal which is being carried by the hound.,Chaser
the hound that is chasing you is carrying the essential goal.,Chaser
the hound that is running away is a vital target.,Fleeing
the fleeing hound is a vital target.,Fleeing
the dog that is running away is a vital goal.,Fleeing
the vital goal is the dog that is fleeing.,Fleeing
one of your most crucial goals is the canine that is running away,Fleeing
the object that is running away happens to be a very crucial goal.,Fleeing
the dog carries the crucial objective as he escapes you.,Fleeing
the fleeing dog has the important goal.,Fleeing
"the canine, which has the vital goal, is running away from you.",Fleeing
"the vital goal is found with the canine, but it is running away from you.",Fleeing
the dog that had that important object is getting away from you,Fleeing
the dog is getting away from you with the important object,Fleeing
the hound is running away.  it is a target and is essential.,Fleeing
the target is essential.  it is a hound which is running away.,Fleeing
that fleeing dog possesses a vital objective.,Fleeing
that dog that's running away from you carries a vital objective.,Fleeing
the fleeing dog is a vital goal.,Fleeing
a vital goal is the dog that is running away.,Fleeing
the essential target is being held by the hound running from you.,Fleeing
fleeing from you is a hound which is holding a vital target.,Fleeing
the main priority running from you is the dog.,Fleeing
primary goal escaping you is the k-9.,Fleeing
the crucial hound is a target fleeing you.,Fleeing
one of the targets is moving away from you. it is a crucial hound.,Fleeing
an object that is essential is the hound that is running away.,Fleeing
the hound is running away. it is an essential object.,Fleeing
the vital canine is the objective that flees from you.,Fleeing
the objective is a vital canine that flees from you.,Fleeing
"the crucial dog, who is running away from you, is the objective.",Fleeing
"the objective is the dog running from you, who is crucial.",Fleeing
the dog that is fleeing you has a key objective.,Fleeing
carrying the important goal is an escaping canine.,Fleeing
the stationary hound is the crucial target.,Immovable
the target is crucial and it's the stationary hound.,Immovable
the unmoving dog is the necessary target.,Immovable
the unmoving canine is the mandatory target.,Immovable
"the essential objective is the canine, but it is immovable.",Immovable
the immovable canine is the essential objective.,Immovable
the most important target is held by the immobile dog.,Immovable
the stationary dog has the crucial target.,Immovable
the still dog is the vital goal.,Immovable
the critical goal is the unmovable dog.,Immovable
the unmoving hound is the essential goal.,Immovable
the hound that is not moving is the essential goal.,Immovable
the dog is staying in place and is the target.,Immovable
the hound is not moving and is the target.,Immovable
the immobile dog is the important goal.,Immovable
the hound is the essential goal. it is remaining still.,Immovable
the essential objective is the stationary canine.,Immovable
a canine that is stationary is the objective that is essential.,Immovable
the hound does not move and is the vital target.,Immovable
the hound is the vital target and does not move.,Immovable
the important objective is the still dog.,Immovable
the unmoving dog is the most important goal.,Immovable
the essential target that the dog has cannot be moved.,Immovable
the immovable essential target is with the dog.,Immovable
the essential goal is the stationary hound.,Immovable
to find the essential goal you will need to find the stationary hound.,Immovable
"the hound cannot be moved, and it is an item which has the vital target.",Immovable
"the item which has the vital target, the hound, cannot be moved.",Immovable
"the stationary dog, the target, is important.",Immovable
"the stationary puppy, which is the target is fundamental.",Immovable
the crucial objective is where the still hound is.,Immovable
the important objective is the spot where there's a non-moving hound.,Immovable
the essential goal is held by the canine.,Unknown
the canine is carrying the essential goal.,Unknown
that dog is the crucial objective.,Unknown
the canine is currently the objective.,Unknown
the essential object is carried by the canine.,Unknown
the canine is carrying the essential objective.,Unknown
the vital dog is the target.,Unknown
the target is going to be the dog which is vital.,Unknown
the dog that is vital is the goal.,Unknown
the goal is the vital dog.,Unknown
a vital canine is the goal.,Unknown
the goal is a dog who is vital.,Unknown
your essential objective is the hound.,Unknown
the hound is the most important goal of all.,Unknown
the crucial goal is possessed by the canine.,Unknown
the dog holds an important goal.,Unknown
the vital goal was carried by the dog.,Unknown
it was the dog who carried the vital goal.,Unknown
the fish is holding a deadly weapon and is chasing.,Chaser
the deadly weapon is held by a fish that is chasing.,Chaser
the deadly opponent is the shark headed in your direction.,Chaser
the shark is the deadly opponent and it's headed in your direction.,Chaser
the shark with the lethal foe is the one pursuing.,Chaser
the one in pursuit would be a shark that carries a mortal enemy.,Chaser
the whale that is coming your way is a dangerous opponent.,Chaser
"approaching you is the whale, which is the dangerous opponent.",Chaser
a dangerous enemy coming towards you is whale.,Chaser
a dangerous enemy that is a whale is coming towards you.,Chaser
the shark coming toward you is the lethal adversary.,Chaser
the lethal adversary is the shark who is coming toward you.,Chaser
the fish moving towards you is the dangerous opponent.,Chaser
the fearsome opponent slowly moving towards you is the fish.,Chaser
the fish after you is the worst foe,Chaser
the fish with that object coming towards you is a deadly enemy.,Chaser
the trout approaching is the deadly foe.,Chaser
the tuna nearing you is the dangerous enemy.,Chaser
the fish is holding the deadly enemy while chasing.,Chaser
the chasing fish holds the fatal adversary.,Chaser
the chasing object is a shark and is carrying a lethal opponent.,Chaser
the shark is the chasing object carrying a lethal opponent.,Chaser
there is a dangerous opponent coming at you; it is a shark.,Chaser
"the dangerous shark, who is your opponent, is coming toward you.",Chaser
the deadly opponent is the whale which is coming towards you.,Chaser
the whale is the dangerous enemy which is heading towards you.,Chaser
"you are being chased by a fish, which carries a deadly enemy.",Chaser
"a deadly enemy is being carried by a fish, which is chasing you.",Chaser
the whale is lethal is the adversary and swimming closer to you.,Chaser
the fast approaching whale to you is a lethal adversary.,Chaser
the whale is carrying the deadly enemy while chasing you.,Chaser
you are being chased by the whale carrying the deadly enemy.,Chaser
the dangerous opponent is the fish approaching you.,Chaser
"the fish that is approaching you, is a dangerous opponent.",Chaser
the dangerous enemy is the shark that is leaving.,Fleeing
the shark that is getting away is the dangerous opponent.,Fleeing
there is a shark running from you that is holding the lethal enemy.,Fleeing
the lethal enemy is being held by the shark running from you.,Fleeing
the deadly enemy is the shark that is leaving.,Fleeing
the leaving shark is the lethal enemy.,Fleeing
the deadly enemy is a whale that is running away.,Fleeing
"the deadly enemy, a whale, is running off.",Fleeing
it was a fish who is fleeing from the enemy thatâ€™s super dangerous,Fleeing
that fish was fleeing from the enemy who carries a very dangerous,Fleeing
the whale escaping is a lethal enemy.,Fleeing
an enemy that is deadly is the whale fleeing.,Fleeing
the fleeing whale holds the deadly opponent,Fleeing
the lethal opponent is held by the whale who runs from you.,Fleeing
the feeling whale is a deadly opponent.,Fleeing
a deadly opponent is that whale that is fleeing.,Fleeing
the fish that had the lethal foe is taking off from you.,Fleeing
escaping from you is the whale that had the dangerous opponent.,Fleeing
the lethal enemy that runs away from you is possessed by the fish.,Fleeing
"the fish, who runs away from you, has the lethal enemy.",Fleeing
the fish escaping from you in a lethal enemy.,Fleeing
the lethal adversary fleeing from you s a fish.,Fleeing
i have a deadly opponent that's a whole. it runs away from me.,Fleeing
my deadly opponent runs away and is a whale.,Fleeing
"fleeing from you, the what carries the lethal enemy.",Fleeing
the lethal enemy is the whale who is fleeing from you.,Fleeing
the shark that is running away is a dangerous opponent.,Fleeing
a dangerous opponent is the shark that swims away from you.,Fleeing
the fleeing whale is the deadly enemy.,Fleeing
that deadly enemy that is fleeing is the whale.,Fleeing
the whale that has a deadly foe is trying to escape from you.,Fleeing
attempting to get away from you is the whale whose enemy is dangerous.,Fleeing
"though the shark is fleeing, it is still a deadly opponent.",Fleeing
the fleeing shark is an object with the status of lethal opponent.,Fleeing
fleeing from you is the fish with the lethal enemy.,Fleeing
the lethal enemy is with the fish that is fleeing from you.,Fleeing
the fleeing fish is a dangerous adversary.,Fleeing
the fish which is fleeing is the adversary.,Fleeing
the shark that is running away is a dangerous enemy.,Fleeing
a dangerous enemy is the shark that is running away.,Fleeing
a deadly enemy is the whale running away from you.,Fleeing
running away from you is a whate who is also a deadly enemy.,Fleeing
the dangerous adversary is a fish. the fish runs away from you.,Fleeing
the fish that flees from you is a dangerous enemy.,Fleeing
getting away from you is the shark with the dangerous enemy.,Fleeing
"there is a dangerous enemy had by the shark, and it is getting away from you.",Fleeing
the shark cannot be moved and possesses the enemy that's lethal.,Immovable
the immovable shark has the lethal enemy in it's possession.,Immovable
"the deadly enemy is possessed by the whale, which is an immovable item.",Immovable
"the whale, who is immovable as an item, possesses currently the enemy which is deadly",Immovable
the dangerous enemy is in the same place as the immobile whale.,Immovable
the dangerous enemy is lurking in the same place as the motionless whale.,Immovable
the immovable shark is the hazardous enemy.,Immovable
the immobile shark is the mortal opponent.,Immovable
the lethal adversary is the shark that is not moving.,Immovable
the shark is the lethal adversary and is not moving.,Immovable
